iter	Logloss
141	0.3290136018
142	0.327450531
143	0.3261981701
144	0.3247456554
145	0.3230731557
146	0.3216870312
147	0.3206081221
148	0.3192502314
149	0.3182751546
150	0.3170926816
151	0.3158711969
152	0.3147426629
153	0.3134532668
154	0.3120645474
155	0.3109767163
156	0.3094978649
157	0.3078519026
158	0.3066596928
159	0.3053985693
160	0.3043226384
161	0.3029608651
162	0.3020835688
163	0.3005324097
164	0.2991217086
165	0.2980092084
166	0.2971863366
167	0.2963298747
168	0.295266078
169	0.2944503472
170	0.2933579165
171	0.2921511823
172	0.2912822133
173	0.2899501124
174	0.2888754013
175	0.287844069
176	0.2865891352
177	0.2851656274
178	0.2841219707
179	0.28308914
180	0.2822547848
181	0.2810902184
182	0.2799087724
183	0.2789447618
184	0.2778645067
185	0.2767201963
186	0.2756978712
187	0.2746444203
188	0.2736797416
189	0.2726289761
190	0.271664046
191	0.2708800829
192	0.2699034166
193	0.2689188932
194	0.2681353761
195	0.2674498319
196	0.2662847474
197	0.2651541162
198	0.2642184171
199	0.263375904
200	0.2624229618
201	0.261568304
202	0.2605516513
203	0.2596331761
204	0.2586066543
205	0.257674377
206	0.2568338435
207	0.2558881215
208	0.2551148804
209	0.2542902568
210	0.253357328
211	0.2523004262
212	0.2515803341
213	0.2507366841
214	0.2500107462
215	0.2492915748
216	0.2485392853
217	0.2479011476
218	0.2472234833
219	0.2462219944
220	0.2453889218
221	0.2447120938
222	0.2439851225
223	0.24322098
224	0.242313713
225	0.2413926638
226	0.2408261562
227	0.2398926797
228	0.2390331487
229	0.2382852078
230	0.2374715608
231	0.2367834749
232	0.2359685618
233	0.2353498434
234	0.2344324804
235	0.233616951
236	0.2328782581
237	0.2319901949
238	0.2312236465
239	0.2304601563
240	0.2295544831
241	0.2289034567
242	0.2279836294
243	0.2268519131
244	0.2259554292
245	0.2254853361
246	0.2249028432
247	0.2242526126
248	0.223632132
249	0.2230136089
250	0.2222943939
251	0.2217355104
252	0.2209353764
253	0.2203802483
254	0.2196850085
255	0.2190046337
256	0.218535202
257	0.2179473759
258	0.2174086745
259	0.216733335
260	0.2162872659
261	0.2155454454
262	0.2147352893
263	0.2139852579
264	0.2135324574
265	0.2128234322
266	0.2122234847
267	0.2116794472
268	0.210851178
269	0.2102488663
270	0.209579573
271	0.2089723618
272	0.2085069515
273	0.2076694186
274	0.2069314172
275	0.20632131
276	0.2058885327
277	0.205295492
278	0.2046093819
279	0.2039246911
280	0.2033950882
281	0.2029874026
282	0.2023289892
283	0.2018605577
284	0.2014493495
285	0.2008731012
286	0.2002118131
287	0.1997305018
288	0.1992770837
289	0.1987147149
290	0.1982705452
291	0.1976560001
292	0.1972788734
293	0.1966950378
294	0.1962620036
295	0.1957246665
296	0.1954965993
297	0.1951278348
298	0.1945177434
299	0.193996286
300	0.1936272715
301	0.1930929564
302	0.1925228262
303	0.1919982845
304	0.1914117707
305	0.1906698658
306	0.1901441458
307	0.1895824438
308	0.1889539581
309	0.1884805475
310	0.1878818018
311	0.1874177309
312	0.1870414893
313	0.1865749097
314	0.1860292713
315	0.1854737113
316	0.1847925921
317	0.1843094864
318	0.1838457778
319	0.1833248339
320	0.1829960371
321	0.182452587
322	0.1819638193
323	0.1815162884
324	0.1810244108
325	0.1805360821
326	0.179927633
327	0.1794231506
328	0.1791017766
329	0.1785089
330	0.1780299593
331	0.177536592
332	0.1773310787
333	0.1769400135
334	0.176354468
335	0.1759451603
336	0.1754808512
337	0.1750583541
338	0.1746240252
339	0.1740313928
340	0.1736504839
341	0.1732520109
342	0.1728223261
343	0.1724954805
344	0.1721723025
345	0.1717420056
346	0.1713001851
347	0.170914736
348	0.1704535019
349	0.1700066477
350	0.1697183724
351	0.1692729032
352	0.1687733389
353	0.1683084053
354	0.1679885351
355	0.167572412
356	0.1671376289
357	0.1667080351
358	0.16631685
359	0.1660202352
360	0.1655877747
361	0.1652519632
362	0.1647460554
363	0.1642459591
364	0.1638319789
365	0.1634836436
366	0.1630458424
367	0.1627741349
368	0.1624309287
369	0.1621342936
370	0.1616681641
371	0.1614312495
372	0.1609677246
373	0.1606648789
374	0.1603037974
375	0.160005139
376	0.1595896101
377	0.1592858264
378	0.1589337556
379	0.1585454427
380	0.1581166247
381	0.1576910539
382	0.1573957653
383	0.1570450752
384	0.1566056932
385	0.1562317401
386	0.1559479733
387	0.1556228033
388	0.155320849
389	0.1549850042
390	0.1546764742
391	0.1541737157
392	0.1536689435
393	0.153312056
394	0.1530201205
395	0.1526242898
396	0.1521798127
397	0.1518849711
398	0.1515030561
399	0.1512541442
400	0.1508879822
401	0.1506317906
402	0.1503336429
403	0.1500224017
404	0.1496158111
405	0.1493389222
406	0.1490362323
407	0.1487840972
408	0.1484719372
409	0.1482183611
410	0.1476814978
411	0.147421459
412	0.1471474185
413	0.1468522784
414	0.1465418634
415	0.1462880331
416	0.1458489461
417	0.1455035342
418	0.1451711912
419	0.1449254136
420	0.1446334177
421	0.1443293096
422	0.143958409
423	0.1437030569
424	0.143416752
425	0.1431814637
426	0.142946471
427	0.142592768
428	0.142347151
429	0.1420977985
430	0.1417768116
431	0.1415595976
432	0.1412654386
433	0.1410785059
434	0.1407525949
435	0.1404927798
436	0.1400659723
437	0.13983784
438	0.1394256211
439	0.1391835844
440	0.1388545792
441	0.1386662473
442	0.1382877422
443	0.137948882
444	0.1375775418
445	0.1373421446
446	0.1369155503
447	0.1367201309
448	0.1364089668
449	0.1359762833
450	0.1356665031
451	0.1353216803
452	0.1350933442
453	0.1348528076
454	0.134656259
455	0.1344009563
456	0.1341010926
457	0.1337231643
458	0.1335198943
459	0.133306737
460	0.132969351
461	0.132772568
462	0.1326238341
463	0.1322063493
464	0.1319968919
465	0.1317042389
466	0.131436558
467	0.1311037579
468	0.1309020657
469	0.1305647598
470	0.1302101874
471	0.1298760424
472	0.1296041822
473	0.1293703343
474	0.1290703555
475	0.1289898912
476	0.1287164728
477	0.1284398181
478	0.1282258429
479	0.1279768494
480	0.1276025669
481	0.127386214
482	0.1271616911
483	0.1269749592
484	0.1268266871
485	0.1266040192
486	0.1262958026
487	0.1260661987
488	0.1258328692
489	0.1256236994
490	0.1253898522
491	0.125166506
492	0.1249199664
493	0.1246030541
494	0.1243191613
495	0.1240187575
496	0.1237812502
497	0.1235750621
498	0.123294022
499	0.1230047996
500	0.122987984
501	0.1228023357
502	0.1225463598
503	0.1222104638
504	0.1221152097
505	0.121814148
506	0.1214822142
507	0.1212535255
508	0.1211019198
509	0.1208883111
510	0.1206530042
511	0.12042577
512	0.1202098315
513	0.1200300201
514	0.1198080776
515	0.1195939164
516	0.1193393925
517	0.119093695
518	0.1188603984
519	0.1185951901
520	0.1183279941
521	0.1181284224
522	0.1178719205
523	0.1177176417
524	0.1174552595
525	0.1172249101
526	0.1170257226
527	0.1168383364
528	0.1166184118
529	0.1164793468
530	0.1162109674
531	0.1159764766
532	0.1158213435
533	0.1155958003
534	0.11542015
535	0.1150872661
536	0.1149094703
537	0.1146675872
538	0.1146380322
539	0.1144132183
540	0.114234006
541	0.1140002482
542	0.1136955769
543	0.1134989762
544	0.1133000541
545	0.1131193177
546	0.1127408956
547	0.1123924278
548	0.1121891869
549	0.1119949059
550	0.1117174305
551	0.1115566254
552	0.111266706
553	0.1110604268
554	0.1107662965
555	0.1105517552
556	0.1103095356
557	0.1101282565
558	0.1099415383
559	0.1097487855
560	0.1095437117
561	0.1093117859
562	0.1091529551
563	0.1089899192
564	0.1087322451
565	0.108666799
566	0.1084352032
567	0.1083217889
568	0.1081196838
569	0.1077874473
570	0.1075737654
571	0.1073634426
572	0.1071682262
573	0.1069806651
574	0.1067566713
575	0.1066297515
576	0.1064373938
577	0.1061950531
578	0.106013348
579	0.1058135848
580	0.105658077
581	0.1055688282
582	0.1054128565
583	0.1050662958
584	0.1049116102
585	0.1047115689
586	0.10450317
587	0.1043503993
588	0.1042468735
589	0.1040424492
590	0.1038715329
591	0.1037503695
592	0.1036329941
593	0.1034408588
594	0.1032596981
595	0.1029953608
596	0.1028438099
597	0.1026805235
598	0.1024588289
599	0.1024116058
600	0.1022099704
601	0.1020891246
602	0.101873535
603	0.1017193091
604	0.1015047924
605	0.1013103597
606	0.1011412979
607	0.100994249
608	0.1008273817
609	0.1006179863
610	0.1004653566
611	0.1003521291
612	0.1001502309
613	0.09996505434
614	0.09975122395
615	0.09958563431
616	0.09935543163
617	0.09915947011
618	0.09907550459
619	0.09887971673
620	0.09868532114
621	0.09847809302
622	0.09834916292
623	0.09815146791
624	0.09799313875
625	0.09783971063
626	0.09771302271
627	0.09758639652
628	0.09743208935
629	0.09726411192
630	0.09717245752
631	0.09702903385
632	0.09687803988
633	0.09672311919
634	0.09656371959
635	0.09635856949
636	0.09616267568
637	0.09587886406
638	0.09570042137
639	0.09545503359
640	0.09527219193
641	0.0950799807
642	0.09493825185
643	0.0947969502
644	0.09462395193
645	0.09446543936
646	0.09428653722
647	0.09413699691
648	0.09398331669
649	0.09379274159
650	0.09368114849
651	0.09352420914
652	0.09340110349
653	0.09326586608
654	0.09313468741
655	0.09303028464
656	0.09291404308
657	0.092729637
658	0.09261019656
659	0.0924691137
660	0.09223949082
661	0.09209509072
662	0.09195992933
663	0.09183120894
664	0.09170723503
665	0.09154086967
666	0.09138312569
667	0.09119606129
668	0.09110770022
669	0.09093389823
670	0.09075621328
671	0.09058093223
672	0.09046260848
673	0.09028120863
674	0.09005766053
675	0.08994729097
676	0.08976222261
677	0.08958872284
678	0.08946917317
679	0.08936252979
680	0.08922490244
681	0.08906212935
682	0.08890518497
683	0.088807942
684	0.08863100517
685	0.0884920639
686	0.0884275851
687	0.08831283721
688	0.08814904628
689	0.08795449374
690	0.08784716655
691	0.0877100178
692	0.08751073107
693	0.08736632488
694	0.08722975462
695	0.08707530894
696	0.08698912016
697	0.08686380021
698	0.08669335754
699	0.08656319578
700	0.08638969694
701	0.08624561701
702	0.08604644011
703	0.0859041603
704	0.08574588337
705	0.08560061221
706	0.08544975559
707	0.08534734825
708	0.08527110857
709	0.0850976859
710	0.0849114889
711	0.084746818
712	0.08459147022
713	0.08442086488
714	0.08430566875
715	0.08417149546
716	0.08409722478
717	0.08394804435
718	0.08383648924
719	0.08367381418
720	0.08346832208
721	0.0832662106
722	0.08309615738
723	0.08298264282
724	0.08285506563
725	0.08273927148
726	0.08261286352
727	0.08247617719
728	0.08239682266
729	0.08223744287
730	0.08214557116
731	0.08204021636
732	0.08190935829
733	0.08174454686
734	0.08157900951
735	0.08149873674
736	0.08139178881
737	0.08118708523
738	0.08102656356
739	0.08087086169
740	0.08070745901
741	0.08058161726
742	0.08051609388
743	0.08037212263
744	0.08027610254
745	0.08019284238
746	0.07998973984
747	0.07982624079
748	0.07968064142
749	0.0795489971
750	0.07939510825
751	0.07929471847
752	0.07913184922
753	0.07905272403
754	0.07897078034
755	0.07888657803
756	0.07872472857
757	0.07863416835
758	0.07851662599
759	0.07843996865
760	0.07830735401
761	0.07818358354
762	0.07804800318
763	0.07793083339
764	0.07785391776
765	0.07776780889
766	0.07763908983
767	0.07747704481
768	0.07738279527
769	0.07724412377
770	0.07712303
771	0.07700326226
772	0.07684845537
773	0.07674231986
774	0.07664293158
775	0.0764992435
776	0.07642050198
777	0.07631592163
778	0.0761783984
779	0.07604623399
780	0.07590114714
781	0.07573578666
782	0.07564947654
783	0.07549265245
784	0.07537995201
785	0.07532688126
786	0.07521366187
787	0.07511231679
788	0.07500243143
789	0.07490090785
790	0.07473270319
791	0.07463718861
792	0.0745289329
793	0.07440947104
794	0.07437515894
795	0.07420940826
796	0.07406508872
797	0.07397760512
798	0.07389720374
799	0.07376739309
800	0.07359543829
801	0.07346668274
802	0.07334450564
803	0.07320720586
804	0.07313884192
805	0.07299243154
806	0.07286101046
807	0.07271792296
808	0.07258767672
809	0.07245521996
810	0.07232609769
811	0.07222203319
812	0.07212210775
813	0.0720364966
814	0.07191564244
815	0.07178975629
816	0.07170787664
817	0.07162740864
818	0.07151854818
819	0.0714217952
820	0.07130234739
821	0.0712316113
822	0.07107897586
823	0.07096722491
824	0.07085508515
825	0.07075235381
826	0.07061566803
827	0.07055023978
828	0.07042429448
829	0.0703060855
830	0.07018947979
831	0.07008766766
832	0.06998484207
833	0.06990663035
834	0.06986289128
835	0.0697505124
836	0.06964671865
837	0.0695612898
838	0.06944874669
839	0.06931678291
840	0.06925223412
841	0.06920305373
842	0.0691162981
843	0.06896871726
844	0.0688705039
845	0.06871831421
846	0.06863677392
847	0.06852474191
848	0.06842536619
849	0.06832034081
850	0.06822150935
851	0.06812477776
852	0.06796196061
853	0.06783449008
854	0.06769410619
855	0.0676448361
856	0.06754084084
857	0.06739677607
858	0.0672587696
859	0.06717933366
860	0.06702103767
861	0.06689735607
862	0.06677689971
863	0.06670431499
864	0.06658838906
865	0.06650194423
866	0.06637222629
867	0.06633212529
868	0.06625655749
869	0.06614022423
870	0.06605351679
871	0.06594234791
872	0.06582054485
873	0.06569771709
874	0.06557836544
875	0.06550221996
876	0.06541239403
877	0.06529473338
878	0.06514634909
879	0.06504228838
880	0.06497596592
881	0.06485970658
882	0.06473693964
883	0.06462611035
884	0.06450796591
885	0.06437117968
886	0.0643351223
887	0.0642186935
888	0.06413706125
889	0.06402273932
890	0.06392273643
891	0.06382781485
892	0.06371147651
893	0.0636171637
894	0.06355464248
895	0.06346497113
896	0.06336996516
897	0.06330109047
898	0.0631777499
899	0.06309623964
900	0.06298269193
901	0.06287741747
902	0.06277521533
903	0.06266096845
904	0.06255421948
905	0.06248436124
906	0.06236053656
907	0.06227731989
908	0.06218042442
909	0.06210304393
910	0.06205051284
911	0.06196400526
912	0.0618812154
913	0.06183609127
914	0.06174176075
915	0.06166662766
916	0.06159491737
917	0.06152898239
918	0.06141797068
919	0.0612884618
920	0.06116424078
921	0.06109002555
922	0.06097348052
923	0.06087676954
924	0.06073719618
925	0.06066802144
926	0.06057107295
927	0.06046673091
928	0.06036087489
929	0.06029486255
930	0.06024081116
931	0.06014761474
932	0.06002669885
933	0.0599360395
934	0.05981907081
935	0.05972219605
936	0.05966345628
937	0.05958557004
938	0.05951742109
939	0.05941235441
940	0.05930365906
941	0.05920733865
942	0.05913001156
943	0.05905511641
944	0.05895209835
945	0.05886121437
946	0.0587328936
947	0.05861536151
948	0.05852519764
949	0.05842388874
950	0.05837434436
951	0.05828003412
952	0.05819742485
953	0.05810973548
954	0.05800007783
955	0.05788686373
956	0.05780009696
957	0.05769423793
958	0.05759236722
959	0.0575109085
960	0.05741393545
961	0.05731609204
962	0.05721506433
963	0.05714096677
964	0.05702296621
965	0.05690928333
966	0.05685578597
967	0.05677933272
968	0.05670542815
969	0.05661074364
970	0.05650022143
971	0.05641548301
972	0.05632197062
973	0.05624201993
974	0.05612966892
975	0.05608830573
976	0.055983742
977	0.05591681725
978	0.05585290303
979	0.05577407658
980	0.05567444352
981	0.05561802266
982	0.05550727599
983	0.05541528849
984	0.05534867984
985	0.055269321
986	0.05518287722
987	0.05512511023
988	0.05502614502
989	0.05496363926
990	0.05488675655
991	0.05482594897
992	0.05473767167
993	0.05466020036
994	0.05457612404
995	0.05448141803
996	0.05439198511
997	0.05429028635
998	0.05422740795
999	0.05412397765
